,0
num_lab_procedures,171
num_medications,142
time_in_hospital,85
age_num,63
number_diagnoses,55
num_procedures,50
number_inpatient,41
num_meds_prescribed,34
discharge_disposition_id_22,33
diag_1_cat_Other,29
discharge_disposition_id_3,27
total_prior_visits,26
discharge_disposition_id_5,25
race_Caucasian,24
diag_1_cat_Respiratory,24
discharge_disposition_id_2,24
number_emergency,21
admission_source_id_7,21
discharge_disposition_id_18,20
diag_1_cat_Musculoskeletal,16
discharge_disposition_id_15,15
admission_type_id_6,15
diag_2_cat_Neoplasms,15
discharge_disposition_id_28,15
discharge_disposition_id_6,15
num_med_changes,15
discharge_disposition_id_23,14
admission_type_id_2,13
diag_3_cat_Other,13
diag_3_cat_Diabetes,13
insulin_No,12
diag_2_cat_Genitourinary,12
diag_2_cat_Other,11
gender_binary,11
admission_type_id_3,11
glipizide_No,11
admission_source_id_4,11
A1Cresult_None,10
diag_2_cat_Diabetes,10
number_outpatient,9
insulin_Steady,8
metformin_No,8
discharge_disposition_id_4,8
diag_1_cat_Diabetes,8
diag_3_cat_Genitourinary,8
admission_type_id_5,8
diag_2_cat_Respiratory,8
diag_1_cat_Injury,8
diag_1_cat_Genitourinary,7
insulin_Up,7
A1Cresult_Norm,6
metformin_Steady,6
glipizide_Steady,6
diag_3_cat_Digestive,6
pioglitazone_Steady,6
admission_source_id_5,5
discharge_disposition_id_7,5
diag_3_cat_Respiratory,5
metformin_Up,5
change_binary,5
diag_1_cat_Digestive,5
max_glu_serum_None,5
race_Hispanic,5
A1Cresult_>8,4
repaglinide_Up,4
race_Other,4
diag_3_cat_Neoplasms,4
diag_3_cat_Musculoskeletal,4
admission_source_id_17,4
diag_2_cat_Musculoskeletal,4
glimepiride_Steady,3
glyburide_No,3
rosiglitazone_Steady,3
glimepiride_No,3
diag_1_cat_Neoplasms,3
repaglinide_No,2
max_glu_serum_Norm,2
pioglitazone_No,2
glyburide_Steady,2
admission_source_id_3,2
discharge_disposition_id_8,2
admission_type_id_8,2
diag_3_cat_Injury,2
admission_source_id_2,2
discharge_disposition_id_25,2
max_glu_serum_>300,2
diag_2_cat_Injury,1
rosiglitazone_No,1
race_Unknown,1
diag_2_cat_Digestive,1
glyburide_Up,1
chlorpropamide_No,0
chlorpropamide_Up,0
nateglinide_Up,0
chlorpropamide_Steady,0
repaglinide_Steady,0
diabetesMed_binary,0
nateglinide_Steady,0
glipizide_Up,0
acetohexamide_Steady,0
tolbutamide_Steady,0
glimepiride_Up,0
nateglinide_No,0
glyburide-metformin_Steady,0
glyburide-metformin_Up,0
pioglitazone_Up,0
metformin-rosiglitazone_Steady,0
race_Asian,0
metformin-pioglitazone_Steady,0
tolazamide_Steady,0
miglitol_No,0
rosiglitazone_Up,0
acarbose_Steady,0
acarbose_Up,0
troglitazone_Steady,0
miglitol_Up,0
miglitol_Steady,0
glipizide-metformin_Steady,0
glyburide-metformin_No,0
admission_type_id_4,0
discharge_disposition_id_10,0
admission_type_id_7,0
discharge_disposition_id_16,0
discharge_disposition_id_12,0
discharge_disposition_id_24,0
discharge_disposition_id_27,0
discharge_disposition_id_9,0
discharge_disposition_id_17,0
admission_source_id_10,0
admission_source_id_11,0
admission_source_id_22,0
admission_source_id_20,0
admission_source_id_13,0
admission_source_id_14,0
admission_source_id_25,0
admission_source_id_6,0
admission_source_id_8,0
admission_source_id_9,0
